abonent =>  predplatiteľ
absolutistický =>  neobmedzený
absolútna viskozita =>  dynamická viskozita
absolútne =>  až do konca
absolútne =>  celkom
absolútne =>  iba
absolútne =>  jedine
absolútne =>  plne
absolútne =>  vcelku
absolútne =>  vôbec
absolútne =>  výhradne
absolútne =>  úplne
absurdný =>  bezdôvodný
absurdný =>  bezmyšlienkový
absurdný =>  kontradiktorický
absurdný =>  nezmyselný
adekvátnosť =>  primeranosť
adept =>  bažant
adept =>  mladý vojak
adept =>  nováčik
adept =>  regrút
adept =>  ucho
adept =>  ucháň
adept =>  začiatočník
adept =>  zelenáč
adept =>  zobák
adhézny =>  lepiaci
adhézny =>  lepivý
adhézny =>  lepkavý
adhézny =>  priľnavý
adopcia =>  osvojenie
adopcia =>  prijatie
adresát =>  príjemca
agent =>  dohadzovač
agent =>  sprostredkovateľ
agent =>  zástupca
agent =>  vyzvedač
agent =>  špión
agrárny =>  poľnohospodársky
agresivita =>  útočnosť
agresívny =>  bojovný
agresívny =>  invázny
agresívny =>  vojnový
agresívny =>  výbojný
agresívny =>  útočný
ahoj =>  nazdar
ahoj =>  čau
akademická hodnosť =>  diplom
akcelerácia =>  zrýchlenie
akcent =>  dôraz
akcent =>  prízvuk
akceptovať =>  prijať
akceptovať =>  uznať
ako celok =>  v celku
ako na zavolanie =>  vhod
ako na zavolanie =>  vhod
ako obrázok =>  malebný
akosť =>  hodnota
akosť =>  kvalita
ako zo škatuľky =>  upravený
akrobat =>  povrazolezec
aktívny =>  činný
aktívny =>  činorodý
aktívum =>  prínos
aktívum =>  výhoda
aktovka =>  brašna
aktovka =>  kabela
aktovka =>  kufrík
akýkoľvek =>  každý
aleja =>  stromoradie
aliancia =>  spojenectvo
alkalický =>  bázický
alkalický =>  zásaditý
alkoholik =>  korheľ
alkoholik =>  notorik
alkoholik =>  opilec
alkoholik =>  ožran
alkoholik =>  pijak
alkoholik =>  pijan
alkoholizmus =>  etylizmus
alkoholizmus =>  nestriedmosť
alkoholizmus =>  opitosť
alkoholizmus =>  pijanstvo
almanach =>  ročenka
altánok =>  besiedka
altánok =>  pergola
altánok =>  záhradná besiedka
amant =>  milenec
amant =>  miláčik
amant =>  milý
amant =>  nápadník
amorfný =>  beztvarý
amorfný =>  neforemný
amorfný =>  rozplývavý
amplión =>  reproduktor
ampulka =>  fľaša
ampulka =>  fľaštička
ampulka =>  nádobka
analogický =>  korešpondujúci
